date,metric,High income,Upper middle income,Lower middle income,Low income,date_popup
2020-05-01,"Daily cases per 1,000",0.05072984013025766,0.00546203498149858,9.623359198922511e-4,2.731010740867792e-4,2020-05-01
2020-05-01,"Daily tests per 1,000",0.447946109223339,0.33104695194268996,0.023106179139315026,0.005809290538436983,2020-05-01
2020-05-01,"Daily sequences per 100,000",0.005886322085950891,1.064410958905079e-4,1.8493822387862793e-5,7.510639071851688e-5,2020-05-01
2020-05-01,Test positivity (%),11.326845741827917,1.5782078429000694,4.1648422878140074,4.701108892382207,2020-05-01
2020-05-01,Cases sequenced (%),0.11838065970702662,0.020920405901853407,0.021902136102450464,0.045187528242205156,2020-05-01
2020-05-02,"Daily cases per 1,000",0.050372095734288365,0.00558641144446321,0.0010088919559632548,2.885270272096203e-4,2020-05-02
2020-05-02,"Daily tests per 1,000",0.4544228895807651,0.33595227307688463,0.024154773126823334,0.0062171527390049025,2020-05-02
2020-05-02,"Daily sequences per 100,000",0.005098284393756651,1.0186298423930327e-4,2.5021053818873193e-5,1.0014185429135583e-4,2020-05-02
2020-05-02,Test positivity (%),11.07818912825539,1.591517572338486,4.176780923033811,4.640822564957621,2020-05-02
2020-05-02,Cases sequenced (%),0.10325328775946839,0.019548300963864524,0.028158667972575904,0.0427715996578272,2020-05-02
2020-05-03,"Daily cases per 1,000",0.04991937855716353,0.005764486460694135,0.0010548225687949636,3.0136142020782415e-4,2020-05-03
2020-05-03,"Daily tests per 1,000",0.45973611003974174,0.33948907883739055,0.02513279800744665,0.00668104200131498,2020-05-03
2020-05-03,"Daily sequences per 100,000",0.004475308650603097,9.614034467529746e-5,2.175743810336799e-5,1.6022696686616934e-4,2020-05-03
2020-05-03,Test positivity (%),10.850485090988817,1.6255248833680631,4.19699616605532,4.510694890834534,2020-05-03
2020-05-03,Cases sequenced (%),0.09150619966750752,0.017799394391689614,0.023247163846010787,0.040950040950040956,2020-05-03
2020-05-04,"Daily cases per 1,000",0.04940125380228723,0.005957493930243913,0.0011429373638485467,3.138255903310797e-4,2020-05-04
2020-05-04,"Daily tests per 1,000",0.46453463073708423,0.34254344606049586,0.026656369864322616,0.007209473451491025,2020-05-04
2020-05-04,"Daily sequences per 100,000",0.004001421119486291,9.041770511129166e-5,2.175743810336799e-5,1.6022696686616934e-4,2020-05-04
2020-05-04,Test positivity (%),10.625833190328143,1.66508538243814,4.287670713101395,4.352961314618282,2020-05-04
2020-05-04,Cases sequenced (%),0.08267476802384201,0.016392728268741143,0.020580154556960724,0.039323633503735744,2020-05-04
2020-05-05,"Daily cases per 1,000",0.04881896235080808,0.006154939347758101,0.0012008010597369906,3.229577545798017e-4,2020-05-05
2020-05-05,"Daily tests per 1,000",0.4670344548895067,0.34557062909543207,0.02769142436589785,0.007751726555665137,2020-05-05
2020-05-05,"Daily sequences per 100,000",0.003764477353927888,8.698412137288817e-5,1.9581694293031193e-5,1.5521987415160153e-4,2020-05-05
2020-05-05,Test positivity (%),10.443548977742685,1.7053206890537767,4.336364369959185,4.1662686662209065,2020-05-05
2020-05-05,Cases sequenced (%),0.0787008898655072,0.015264323860749197,0.017629602060704595,0.03821169277799007,2020-05-05
2020-05-06,"Daily cases per 1,000",0.04821175362110194,0.006365142320423471,0.001259546824160319,3.436902355769001e-4,2020-05-06
2020-05-06,"Daily tests per 1,000",0.46936800972447695,0.3483983630519956,0.02868223430976326,0.008321746375460362,2020-05-06
2020-05-06,"Daily sequences per 100,000",0.0035301958778701415,8.583959346008702e-5,5.4393595258419974e-5,1.5521987415160153e-4,2020-05-06
2020-05-06,Test positivity (%),10.261724940991563,1.7493617204741507,4.391383218466969,4.130025358503996,2020-05-06
2020-05-06,Cases sequenced (%),0.07473247633330685,0.014566020000116527,0.046687084484948085,0.03590664272890485,2020-05-06
2020-05-07,"Daily cases per 1,000",0.047611745424504144,0.006586525090184963,0.00132210312465435,3.682483529484632e-4,2020-05-07
2020-05-07,"Daily tests per 1,000",0.4727193086989997,0.35073794709006645,0.02971679485295896,0.008927307591250612,2020-05-07
2020-05-07,"Daily sequences per 100,000",0.0031068918472658027,6.752714685526847e-5,5.221785144808318e-5,1.0514894700592361e-4,2020-05-07
