"country","code","population_size","world_bank_economies","date_tests_last_reported","days_since_tests_reported","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","cum_seq","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","dx_testing_binary","sars_cov_2_binary","ngs_capacity","facility_access","ngs_facility","archetype_orig","dx_archetype","sx_archetype","dx_testing_rec","sx_sequencing_rec","prev_dx","prev_sequ","seq_but_no_test_flag","TPR_pct","daily_tests_per_1000","pct_seq","seq_per_100k"
"Afghanistan","AFG",38928000,"Low income","May 12, 2022",324,0.0522,0.02,120,0.03,0.027,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","5.2 %","0.02 per 1,000 persons","0.03 %","0 per 100k persons"
"Albania","ALB",2878000,"Upper middle income","March 27, 2023",5,0.2241,0.26,1371,0.38,8.057,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","22.4 %","0.26 per 1,000 persons","0.38 %","8.1 per 100k persons"
"Algeria","DZA",43851000,"Lower middle income","November 01, 2020",881,NaN,NaN,795,6.44,0.848,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","6.44 %","0.8 per 100k persons"
"American Samoa","ASM",NaN,"Upper middle income","No tests reported",NaN,NaN,NaN,121,2.02,205.441,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Insufficient data","no","Insufficient data","Insufficient data","2.02 %","205.4 per 100k persons"
"Andorra","AND",77000,"High income","March 01, 2022",396,NaN,NaN,393,2.66,263.016,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","2.66 %","263 per 100k persons"
"Angola","AGO",32866000,"Lower middle income","December 30, 2022",92,0.0038,0.17,1336,0.86,0.149,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","0.4 %","0.17 per 1,000 persons","0.86 %","0.1 per 100k persons"
"Anguilla","AIA",NaN,"No income data","No tests reported",NaN,NaN,NaN,111,2.41,182.654,"Insufficient testing data","Meets sequencing target",NaN,"Insufficient data",NaN,"Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","2.41 %","182.7 per 100k persons"
"Antigua and Barbuda","ATG",98000,"High income","June 07, 2021",663,NaN,NaN,260,4.33,74.649,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","4.33 %","74.6 per 100k persons"
"Argentina","ARG",45196000,"Upper middle income","April 17, 2022",349,0.073,0.45,22762,0.31,6.873,"Insufficient testing data","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","7.3 %","0.45 per 1,000 persons","0.31 %","6.9 per 100k persons"
"Armenia","ARM",2963000,"Upper middle income","June 06, 2022",299,0.0035,0.68,192,0,0.036,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","0.4 %","0.68 per 1,000 persons","0 %","0 per 100k persons"
"Aruba","ABW",NaN,"High income","No tests reported",NaN,NaN,NaN,4136,9.25,882.03,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","9.25 %","882 per 100k persons"
"Australia","AUS",25500000,"High income","September 09, 2022",204,0.462,2.93,192611,1.37,372.745,"Insufficient testing data","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Test","Sustain","no","46.2 %","2.93 per 1,000 persons","1.37 %","372.7 per 100k persons"
"Austria","AUT",9006000,"High income","April 01, 2023",0,0.067,10.01,242368,6.8,1662.677,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","6.7 %","10.01 per 1,000 persons","6.8 %","1662.7 per 100k persons"
"Azerbaijan","AZE",10139000,"Upper middle income","April 01, 2023",0,0.0429,0.23,191,0,0,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","4.3 %","0.23 per 1,000 persons","0 %","0 per 100k persons"
"Bahrain","BHR",1702000,"High income","December 22, 2022",100,0.142,2.24,11018,1.92,186.111,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","14.2 %","2.24 per 1,000 persons","1.92 %","186.1 per 100k persons"
"Bangladesh","BGD",164689000,"Lower middle income","February 26, 2023",34,0.0579,0.03,7527,0.8,0.402,"Does not meet testing target","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","5.8 %","0.03 per 1,000 persons","0.8 %","0.4 per 100k persons"
"Barbados","BRB",287000,"High income","March 31, 2023",1,0.2527,1.81,281,0.34,58.229,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","25.3 %","1.81 per 1,000 persons","0.34 %","58.2 per 100k persons"
"Belarus","BLR",9449000,"Upper middle income","July 06, 2022",269,0.0369,0.87,520,0,0,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","3.7 %","0.87 per 1,000 persons","0 %","0 per 100k persons"
"Belgium","BEL",11590000,"High income","March 31, 2023",1,0.2215,0.99,174733,5.04,397.395,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","22.1 %","0.99 per 1,000 persons","5.04 %","397.4 per 100k persons"
"Belize","BLZ",398000,"Upper middle income","June 10, 2022",295,0.0662,1.81,1071,2.01,67.36,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","6.6 %","1.81 per 1,000 persons","2.01 %","67.4 per 100k persons"
"Benin","BEN",12123000,"Lower middle income","January 25, 2022",431,NaN,NaN,1293,2.99,0.315,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","2.99 %","0.3 per 100k persons"
"Bermuda","BMU",62000,"High income","April 01, 2023",0,0,8.48,277,2.26,222.717,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","No cases reported","8.48 per 1,000 persons","2.26 %","222.7 per 100k persons"
"Bhutan","BTN",772000,"Lower middle income","March 01, 2022",396,NaN,NaN,135,0.17,7.285,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0.17 %","7.3 per 100k persons"
"Bolivia","BOL",11673000,"Lower middle income","January 02, 2022",454,NaN,NaN,421,0.02,0.556,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0.02 %","0.6 per 100k persons"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income","April 01, 2023",0,0.2261,0.1,1527,0.34,2.876,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","22.6 %","0.1 per 1,000 persons","0.34 %","2.9 per 100k persons"
"Botswana","BWA",2352000,"Upper middle income","May 18, 2022",318,0.4766,0.44,5280,6.44,58.891,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","47.7 %","0.44 per 1,000 persons","6.44 %","58.9 per 100k persons"
"Brazil","BRA",212559000,"Upper middle income","March 20, 2023",12,0.0435,2.19,223488,0.73,24.804,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","4.3 %","2.19 per 1,000 persons","0.73 %","24.8 per 100k persons"
"British Indian Ocean Territory","IOT",NaN,"No income data","No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient testing data","Insufficient data",NaN,"Insufficient data",NaN,"Insufficient data","Insufficient data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics","Insufficient data","Insufficient data","no","Insufficient data","Insufficient data","Insufficient data","Insufficient data"
"British Virgin Islands","VGB",NaN,"High income","No tests reported",NaN,NaN,NaN,198,1.46,54.258,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","1.46 %","54.3 per 100k persons"
"Brunei","BRN",437000,"High income","December 14, 2021",473,NaN,NaN,5915,2.53,840.308,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","2.53 %","840.3 per 100k persons"
"Bulgaria","BGR",6948000,"Upper middle income","April 01, 2023",0,0.104,0.61,20452,0.87,20.731,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","10.4 %","0.61 per 1,000 persons","0.87 %","20.7 per 100k persons"
"Burkina Faso","BFA",20903000,"Low income","March 09, 2022",388,NaN,NaN,768,2.09,0.11,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","Insufficient data","Insufficient data","2.09 %","0.1 per 100k persons"
"Burundi","BDI",11891000,"Low income","January 03, 2023",88,0.0237,0.17,157,0,0,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.4 %","0.17 per 1,000 persons","0 %","0 per 100k persons"
"Cambodia","KHM",16719000,"Lower middle income","November 01, 2022",151,0.0127,0.05,3896,28.13,5.2,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","1.3 %","0.05 per 1,000 persons","28.13 %","5.2 per 100k persons"
"Cameroon","CMR",26546000,"Lower middle income","August 25, 2022",219,0.0021,0.21,1613,1.94,0.355,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","0.2 %","0.21 per 1,000 persons","1.94 %","0.4 per 100k persons"
"Canada","CAN",37742000,"High income","November 28, 2022",124,0.1406,0.77,487171,15.6,469.237,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","14.1 %","0.77 per 1,000 persons","15.6 %","469.2 per 100k persons"
"Cape Verde","CPV",556000,"Lower middle income","January 03, 2023",88,0.09,0.52,818,5,61.535,"Meets testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","9 %","0.52 per 1,000 persons","5 %","61.5 per 100k persons"
"Cayman Islands","CYM",NaN,"High income","No tests reported",NaN,NaN,NaN,387,2.63,416.169,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","2.63 %","416.2 per 100k persons"
"Central African Republic","CAF",4830000,"Low income","January 03, 2023",88,0.0269,0.02,110,0,0,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.7 %","0.02 per 1,000 persons","0 %","0 per 100k persons"
"Chad","TCD",16426000,"Low income","December 30, 2022",92,0.0201,0,49,0,0,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2 %","0 per 1,000 persons","0 %","0 per 100k persons"
"Chile","CHL",19116000,"High income","April 01, 2023",0,0.1272,1.95,43840,0.98,89.769,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","12.7 %","1.95 per 1,000 persons","0.98 %","89.8 per 100k persons"
"China","CHN",1439324000,"Upper middle income","June 24, 2020",1011,NaN,NaN,21987,0.02,1.253,"Insufficient testing data","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","Insufficient data","Insufficient data","0.02 %","1.3 per 100k persons"
"Colombia","COL",50883000,"Upper middle income","March 08, 2023",24,0.0757,0.2,26292,2.69,14.412,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","7.6 %","0.2 per 1,000 persons","2.69 %","14.4 per 100k persons"
"Comoros","COM",870000,"Lower middle income","November 13, 2022",139,0.0295,0.14,42,0.8,0.956,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.9 %","0.14 per 1,000 persons","0.8 %","1 per 100k persons"
"Cook Islands","COK",NaN,"No income data","No tests reported",NaN,NaN,NaN,0,0,0,"Insufficient testing data","Does not meet sequencing target",NaN,"Insufficient data",NaN,"Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Costa Rica","CRI",5094000,"Upper middle income","June 01, 2022",304,0.1019,1.88,10401,1.7,127.489,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","10.2 %","1.88 per 1,000 persons","1.7 %","127.5 per 100k persons"
"Croatia","HRV",4105000,"High income","March 12, 2023",20,0.1974,0.59,42391,6.95,295.259,"Meets testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","no","19.7 %","0.59 per 1,000 persons","6.95 %","295.3 per 100k persons"
"Cuba","CUB",11327000,"Upper middle income","October 17, 2022",166,0.0298,0.33,1671,1.11,2.239,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","3 %","0.33 per 1,000 persons","1.11 %","2.2 per 100k persons"
"Curaçao","CUW",NaN,"High income","No tests reported",NaN,NaN,NaN,2235,12.69,361.976,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","12.69 %","362 per 100k persons"
"Cyprus","CYP",1207000,"High income","July 11, 2021",629,NaN,NaN,3131,0.01,2.567,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","Insufficient data","Insufficient data","0.01 %","2.6 per 100k persons"
"Czech Republic","CZE",10709000,"High income","April 01, 2023",0,0.2361,0.64,57438,3.38,177.33,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","yes","23.6 %","0.64 per 1,000 persons","3.38 %","177.3 per 100k persons"
"Democratic Republic of the Congo","COD",89561000,"Low income","January 03, 2023",88,0.0413,0.01,1382,1.61,0.148,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","4.1 %","0.01 per 1,000 persons","1.61 %","0.1 per 100k persons"
"Denmark","DNK",5792000,"High income","February 24, 2023",36,0.1432,1.28,634145,47.94,2851.915,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","14.3 %","1.28 per 1,000 persons","47.94 %","2851.9 per 100k persons"
"Djibouti","DJI",988000,"Lower middle income","September 20, 2022",193,0.002,0.33,885,180.95,16.951,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Test","Sustain","no","0.2 %","0.33 per 1,000 persons","180.95 %","17 per 100k persons"
"Dominica","DMA",72000,"Upper middle income","December 28, 2021",459,NaN,NaN,40,0.1,5.498,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0.1 %","5.5 per 100k persons"
"Dominican Republic","DOM",10848000,"Upper middle income","November 30, 2022",122,0.1008,0.27,2647,1.77,13.047,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","10.1 %","0.27 per 1,000 persons","1.77 %","13 per 100k persons"
"East Timor","TLS",NaN,"Lower middle income","No tests reported",NaN,NaN,NaN,357,0,0,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Ecuador","ECU",17643000,"Upper middle income","February 01, 2022",424,NaN,NaN,9485,1.9,20.965,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","1.9 %","21 per 100k persons"
"Egypt","EGY",102334000,"Lower middle income","August 15, 2022",229,0.0018,0.45,3237,6.55,0.627,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","0.2 %","0.45 per 1,000 persons","6.55 %","0.6 per 100k persons"
